epoch,train_loss,val_loss,train_acc,val_acc
1,1.206848471141201,1.0395658380243233,0.5457173708593124,0.6071329061019782
2,0.8742227030213987,1.0022529533693936,0.6785676965411543,0.6310950125383115
3,0.7154739590152736,0.9872627672826257,0.7413354697133303,0.647255502925606
4,0.5613379831734967,1.0019477191460302,0.8055313664704448,0.6461409863471719
5,0.41056828343501606,1.1314898618717784,0.8657912152983385,0.6503204235162998
6,0.29375814732461686,1.1431725436214883,0.9104462015395869,0.6508776818055169
7,0.2014918357892704,1.156083004625437,0.9428402243198997,0.6611869601560323
8,0.1433033461651129,1.2511485894930732,0.9608485144031489,0.6575647812761215
9,0.09452097709919534,1.318636743562007,0.9768365320979484,0.6592365561437726
10,0.07011770772528693,1.377638285672907,0.983907485457522,0.6609083310114238
11,0.057181773963871745,1.406387879410704,0.9887491727332892,0.6645305098913347
12,0.04176741577403299,1.436276008804451,0.9915009230554879,0.6656450264697688
13,0.03377697856586768,1.4590919953131283,0.9932773694660211,0.6714962385065478
14,0.03014960315957883,1.4788044438318277,0.9946358284858406,0.6664809139035943
15,0.023616175599721408,1.5101652397156824,0.9956459646800655,0.6678740596266369
16,0.01878430556406392,1.5897831867650611,0.9964819394614929,0.6720534967957649
17,0.01935788715992879,1.584215552154508,0.9959942875056602,0.6703817219281136
18,0.015263572175962378,1.595038379955903,0.9965864363091713,0.6748397882418501
19,0.016538223260264585,1.6466789181500168,0.9968302622870877,0.6681526887712455
20,0.014804239281702948,1.6196734263193444,0.9970392559824446,0.673725271663416
